#CAMI Submission for Taxonomic Profiling

@@TaxID	SpeciesName	PERCENTAGE
		
1313	Streptococcus pneumoniae	18.5074
621	Shigella boydii	11.629
1491	Clostridium botulinum	11.0205
851	Fusobacterium nucleatum	8.58174
546	Citrobacter freundii	8.27022
548	Klebsiella aerogenes	5.42271
624	Shigella sonnei	4.7932
294	Pseudomonas fluorescens	4.55191
622	Shigella dysenteriae	4.53238
1463165	Klebsiella quasipneumoniae	2.29585
56	Sorangium cellulosum	1.76156
1352	Enterococcus faecium	1.50993
28037	Streptococcus mitis	1.31776
208962	Escherichia albertii	1.23317
9	Buchnera aphidicola	0.782901
47763	Streptomyces lydicus	0.542041
303	Pseudomonas putida	0.533424
253	Chryseobacterium indologenes	0.524806
244366	Klebsiella variicola	0.508577
1428	Bacillus thuringiensis	0.489905
623	Shigella flexneri	0.451988
85698	Achromobacter xylosoxidans	0.40689
550	Enterobacter cloacae	0.35418
481743	Paenibacillus sp. Y412MC10	0.307789
860	Fusobacterium periodonticum	0.291703
1813821	Shigella sp. PAMC 28760	0.288687
1303	Streptococcus oralis	0.251631
1520	Clostridium beijerinckii	0.24761
996	Flavobacterium columnare	0.212278
571	Klebsiella oxytoca	0.21156
1639133	Citrobacter portucalensis	0.205815
173	Leptospira interrogans	0.181686
823	Parabacteroides distasonis	0.175654
67827	Citrobacter werkmanii	0.172781
1219	Prochlorococcus marinus	0.171632
1404	Bacillus megaterium	0.169765
1747	Cutibacterium acnes	0.163876
1598	Lactobacillus reuteri	0.159998
217203	Achromobacter spanius	0.152817
1812935	Enterobacter roggenkampii	0.144918
316	Pseudomonas stutzeri	0.140753
192	Azospirillum brasilense	0.13314
545	Citrobacter koseri	0.124236
1492	Clostridium butyricum	0.120501
1401	Paenibacillus lautus	0.115044
1405	Bacillus mycoides	0.110448
1396	Bacillus cereus	0.107432
1134687	Klebsiella michiganensis	0.102405
1076	Rhodopseudomonas palustris	0.102261
1282	Staphylococcus epidermidis	0.100681
856	Fusobacterium varium	0.0996758
292	Burkholderia cepacia	0.0953671
1421	Lysinibacillus sphaericus	0.0947926
1502	Clostridium perfringens	0.0945053
61652	Serratia rubidaea	0.0838771
54291	Raoultella ornithinolytica	0.0820099
459526	Flavobacterium anhuiense	0.0810046
564	Escherichia fergusonii	0.0808609
1912	Streptomyces hygroscopicus	0.0808609
57706	Citrobacter braakii	0.0768394
384	Rhizobium leguminosarum	0.0718126
470934	Pantoea vagans	0.0695146
575	Raoultella planticola	0.0642004
2077149	Citrobacter freundii complex sp. CFNIH9	0.0633387
158822	Cedecea neteri	0.0620461
35703	Citrobacter amalonaticus	0.0610407
1905288	Klebsiella sp. LTGPAF-6F	0.0594608
133448	Citrobacter youngae	0.0588863
28095	Burkholderia gladioli	0.0508433
195	Campylobacter coli	0.0506997
40324	Stenotrophomonas maltophilia	0.0479708
2026240	Klebsiella quasivariicola	0.0462473
300	Pseudomonas mendocina	0.0432312
1302	Streptococcus gordonii	0.042513
1499973	Escherichia marmotae	0.0420822
1703250	Citrobacter sp. CRE-46	0.0406459
2077148	Citrobacter freundii complex sp. CFNIH4	0.0392097
859	Fusobacterium necrophorum	0.0376298
1351	Enterococcus faecalis	0.0360499
1398	Bacillus coagulans	0.0351882
299767	Enterobacter ludwigii	0.0349009
54571	Streptomyces venezuelae	0.0338955
2077147	Citrobacter freundii complex sp. CFNIH3	0.0327465
2529121	Citrobacter sp. ABFQG	0.0320284
61645	Enterobacter asburiae	0.0315975
95486	Burkholderia cenocepacia	0.0314539
584	Proteus mirabilis	0.0303049
283686	Kosakonia radicincitans	0.0303049
358	Agrobacterium tumefaciens	0.028725
1304	Streptococcus salivarius	0.0284378
582	Morganella morganii	0.0278633
985002	Staphylococcus argenteus	0.0277196
2027919	Enterobacter cloacae complex sp.	0.0277196
1358	Lactococcus lactis	0.027576
48296	Acinetobacter pittii	0.0267143
1972757	Klebsiella sp. PO552	0.0267143
238	Elizabethkingia meningoseptica	0.025278
1308	Streptococcus thermophilus	0.0251344
554	Pectobacterium carotovorum	0.0248471
1778540	Dickeya fangzhongdai	0.0247035
1736	Eubacterium limosum	0.0235545
76759	Pseudomonas monteilii	0.0228364
103855	Bordetella hinzii	0.0225491
1354	Enterococcus hirae	0.0221183
2500542	Salmonella sp. SSDFZ54	0.021831
250	Chryseobacterium gleum	0.021831
96345	Flavobacterium psychrophilum	0.0216874
28141	Cronobacter sakazakii	0.0215438
36745	Clostridium saccharoperbutylacetonicum	0.0212565
217204	Achromobacter insolitus	0.0202511
254	Chryseobacterium indoltheticum	0.0201075
1501	Clostridium pasteurianum	0.0201075
614	Serratia liquefaciens	0.0198203
201	Campylobacter lari	0.0198203
1137606	Leptospira mayottensis	0.0198203
32002	Achromobacter denitrificans	0.0188149
67824	Citrobacter farmeri	0.0185276
174	Leptospira borgpetersenii	0.0180968
54736	Salmonella bongori	0.0179531
34085	Riemerella anatipestifer	0.0175223
72361	Bacillus vallismortis	0.0173786
930166	Pseudomonas brassicacearum	0.017235
1496	Clostridioides difficile	0.017235
47917	Serratia fonticola	0.0170914
210	Helicobacter pylori	0.0170914
1117645	Elizabethkingia anophelis	0.0170914
587	Providencia rettgeri	0.0168041
106590	Cupriavidus necator	0.0168041
881260	Enterobacter bugandensis	0.0165169
2015795	Klebsiella sp. LY	0.0165169
1309	Streptococcus mutans	0.016086
861	Fusobacterium ulcerans	0.0159424
588	Providencia stuartii	0.0159424
82996	Serratia plymuthica	0.0157988
1509	Clostridium sporogenes	0.0155115
274	Thermus thermophilus	0.0153679
563	Shimwellia blattae	0.0152243
615	Serratia marcescens	0.014937
